,Song ID,asset_id,Title,songtrust_composer,youtube_writers
866059,2818724,A350018550769995,GARDEN VOICE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
866067,2818727,A222769465013206,GARDENING,TRIVELLATO,GIULIANO SACCHETTO-GIORDANO TRIVELLATO
866101,349394,A677056651977591,GARY GYGAX,ROBINSON/TANNENBAUM,JOEL HAROLD TANNENBAUM;REESE DANIEL ROBINSON
866102,336469,A677056651977591,GARY GYGAX,"TANNENBAUM, JOEL",JOEL HAROLD TANNENBAUM;REESE DANIEL ROBINSON
866131,3214020,A415796814488232,GAS DEM,BROWN/DELAC/GROSSMAN/GORE,BROWN DELYNO;DELAC BRIAN;GORE MICHAEL;GROSSMAN DANIEL
866138,3096194,A751538710565577,GAS!,"FELNER, CHRISTIAN","FELNER, CHRISTIAN"
866220,3103570,A241679623376965,GASOLINE,NOLL/ANDERSON,ANDERSON JACOB;NOLL CORNELIUS
866405,2182584,A247114446654485,GASOLINE,SIVAN/CARTER,CARTER  PAUL;MELLET  TROYE SIVAN
866659,855125,A411009124573389,GATES,"WITCHER, TERRANCE",WITCHER TERRANCE
866703,782005,A105440383661496,GATHER,SMITH,SEAN SMITH
866710,2818754,A827470565954827,GATHERED AROUND THE FIRE,TRIVELLATO,"GIORDANO TRIVELLATO, SACCHETTO GIULIANO, TOBACCO MUSIC EDITION"
866734,9160,A730112964461034,GATHERING IN BLUE,DUQUE,JOSE DUQUE
866742,2232331,A866213303396139,GATOR COUGH,BLOMGREN/SERNA/TRAINER,BLOMGREN SEAN;SERNA STEVEN;TRAINER ALLEN
866796,2818761,A803751388380417,GAVOTTE IN D MAJOR (CLASSICAL MUSIC FOR THANKSGIVING DINNER),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
866797,2818762,A830022989592726,GAVOTTE IN D MAJOR (HAPPY MUSIC FOR DINNER),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
866829,2818778,A660359158788824,GAYATRI MANTRA,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO"
866849,853951,A957643492373976,GAZANIA BLOSSOM,MARCHENKO/BULANOV/SMIRNOV,ANTON MARCHENKO;NIKOLAY BULANOV;PAVEL SMIRNOV
866861,3019006,A136127506446307,GAZER (FEAT. DEVIN TOWNSEND),"ROGERS, THOMAS",ROGERS THOMAS
866862,3019006,A726956376219750,GAZER (FEAT. DEVIN TOWNSEND),"ROGERS, THOMAS",THOMAS GILES ROGERS
866889,2193223,A505965804464518,GEEK TO THE BEAT,ANDERSON /GAINES,ANDERSON ANTHONY;GAINES STEPHEN
866902,2818794,A934172496430937,GEESTELIJKE KRACHT,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
866921,2818848,A444133146312255,GEISTESBLITZ (HARMONISCHE SCHWINGUNG),TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
866931,2818881,A615681662461754,GELEIDE MEDITATIE,TRIVELLATO,"GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
866944,2448123,A340679541825927,GEMINI,"MARTINEZ, EDRINA",EDRINA MARTINEZ
